Goblin,Pronunciation,Part of speech,English
gukakg,/ˈgukakg/,n.,army; military
gukg,/gukg/,n.,nation
gukgi,/ˈgukgi/,v.,reflect
gukh,/gukh/,prep.,across
gukhe,/ˈgukhe/,n.,trunk (of tree)
gukkek,/ˈgukkek/,n.,whore
gukput,/ˈgukput/,v.,sit
guou,/ˈguou̯/,n.,guide
guoud,/ˈguou̯d/,n.,trade
guoug,/ˈguou̯g/,n.,husband
gup,/gup/,adj.,early
gupe,/ˈgupe/,n.,forest
gupra,/ˈgupra/,n.,intervention
gupugk,/ˈgupugk/,adv.,least
gupur,/ˈgupur/,n.,hole; crater; cavity; well
gur,/gur/,v.,take; arrest
gura,/ˈgura/,v.,work (be employed); work (toil)
gurer,/ˈgurer/,adj.,guilty
gurrig,/ˈgurrig/,n.,hazard; risk
gut,/gut/,adv.,when
gutgou,/ˈgutgou̯/,v.,pray; appeal; beg
guti,/ˈguti/,v.,play (have fun); compete
gutket,/ˈgutket/,n.,snow
gutket,/ˈgutket/,v.,snow
gutta,/ˈgutta/,v.,marry
gutter,/ˈgutter/,n.,compliment
guttik,/ˈguttik/,n.,paint
ha,/ha/,n.,idea; opinion; concept; theme
had,/had/,n.,box; crate
hadeg,/ˈhadeg/,pron.,everybody
hadi,/ˈhadi/,v.,fire (from job)
hadrag,/ˈhadrag/,pron.,nothing
hadwek,/ˈhadwek/,n.,crack
hadwek,/ˈhadwek/,v.,crack
hadwu,/ˈhadwu/,n.,roof; ceiling
hag,/hag/,n.,boy
hagk,/hagk/,n.,mirror
hagke,/ˈhagke/,n.,chain; link
hagke gike,/ˈhagke ˈgike/,n.,necklace
hagrou,/ˈhagrou̯/,n.,crown
hagru,/ˈhagru/,v.,offer
hagta,/ˈhagta/,n.,cow
hagud,/ˈhagud/,prep.,except; besides
hagugk,/ˈhagugk/,n.,text
hagukg,/ˈhagukg/,n.,menu
hahwikha,/haˈhwikha/,n.,present (time)
hahwu,/ˈhahwu/,adj.,free; wild
hak,/hak/,adv.,far; away
haka,/ˈhaka/,adj.,angry; mad
hakakta,/haˈkakta/,n.,girl
hake,/ˈhake/,n.,vagina
hakekh,/ˈhakekh/,adj.,round
hakh,/hakh/,n.,chalk
hakha,/ˈhakha/,v.,build; construct; erect
hakhad,/ˈhakhad/,n.,crime; felony
haki,/ˈhaki/,n.,coffee
haktekh,/ˈhaktekh/,n.,dog
haktekh kakg,/ˈhaktekh kakg/,n.,wolf
hap,/hap/,n.,steam
hape,/ˈhape/,v.,hang; dangle
hapra,/ˈhapra/,n.,hell
har,/har/,n.,story; fable
harga,/ˈharga/,adv.,maybe; perhaps
hat,/hat/,v.,fight; attack; assault
hata,/ˈhata/,n.,skeleton; hull
hatra,/ˈhatra/,n.,trauma; wound
hau,/ˈhau/,v.,shake; shudder
haw,/haw/,n.,place; location; venue
haw,/haw/,v.,place
hawa,/ˈhawa/,n.,breakfast
hawek,/ˈhawek/,v.,try (strive)
hawi,/ˈhawi/,v.,love; admire
hawigk,/ˈhawigk/,n.,trip; tour
hawtip,/ˈhawtip/,adj.,fake
hawuk,/ˈhawuk/,n.,quality
hed,/hed/,n.,population
hedwa,/ˈhedwa/,v.,cause; induce; generate
hedwou,/ˈhedwou̯/,n.,skull
heg,/heg/,v.,order; impose
hegk,/hegk/,n.,book; novel; magazine
hegk het,/hegk het/,n.,notebook
hegk reg,/hegk reg/,n.,dictionary
hegkat,/ˈhegkat/,n.,hotel
hek,/hek/,n.,family (children and parents)
heke,/ˈheke/,n.,future; destiny; fate
heketa,/heˈketa/,adj.,heavy; serious; obese
hekg,/hekg/,det.,enough
hekh,/hekh/,v.,visit; attend; show up
hekheg,/ˈhekheg/,n.,button (fastener for clothing)
hekihwu,/heˈkihwu/,n.,education
hektek,/ˈhektek/,n.,rod; shaft; bar; cylinder
hep,/hep/,v.,shift
hepe,/ˈhepe/,n.,money
hepike,/heˈpike/,n.,storm; hurricane; turmoil
het,/het/,n.,note
heta,/ˈheta/,n.,fowl
hew,/hew/,n.,news
hewad,/ˈhewad/,v.,climb
hewe,/ˈhewe/,n.,reason; logic; rationale
hewga,/ˈhewga/,n.,step (one level of stairs)
hewou,/ˈhewou̯/,adj.,cheap
hewte,/ˈhewte/,v.,punish; abuse
hi,/hi/,n.,child (young human being)
hid,/hid/,n.,leg; foot
hida,/ˈhida/,adj.,alone
hig,/hig/,n.,human
higk,/higk/,n.,center; heart; core
hika,/ˈhika/,det.,few
hikh,/hikh/,n.,stomach; gut
hip,/hip/,n.,farm; pasture
hir,/hir/,adv.,forever
hirdak,/ˈhirdak/,n.,chest
hiw,/hiw/,adj.,single
hiwe,/ˈhiwe/,n.,witch
hou,/hou̯/,det.,every; each
houg,/hou̯g/,adj.,deep
hougk,/hou̯gk/,n.,top (clothing)
houke,/ˈhou̯ke/,adj.,black
houkg,/hou̯kg/,adj.,right (direction)
houku,/ˈhou̯ku/,v.,surprise; startle
hout,/hou̯t/,n.,train
hout tudekug,/hou̯t tuˈdekug/,n.,metro
houtgou,/ˈhou̯tgou̯/,n.,door
houw,/hou̯w/,v.,return; go back
houw,/hou̯w/,n.,return
houwut,/ˈhou̯wut/,n.,brick
hu,/hu/,v.,look; peer
hud,/hud/,v.,share; divide
hudi,/ˈhudi/,n.,soup; broth
hudupa,/huˈdupa/,n.,mood
hug,/hug/,adv.,yet
hugegtar,/huˈgegtar/,n.,kitten
hugk,/hugk/,adv.,soon
hugkat,/ˈhugkat/,v.,fix; mend; repair
hugrak,/ˈhugrak/,n.,frog
huhaktekh,/huˈhaktekh/,n.,puppy
huk,/huk/,v.,hint; imply; remind
huk,/huk/,n.,hint
huket,/ˈhuket/,adj.,sudden; abrupt; swift
hukgak,/ˈhukgak/,n.,stuff
hukgu,/ˈhukgu/,adj.,perfect
hukh,/hukh/,n.,message; letter (written document)
hukti,/ˈhukti/,n.,knee
huku,/ˈhuku/,adj.,able; capable; competent; ready
hup,/hup/,n.,law
hupou,/ˈhupou̯/,n.,test
hur,/hur/,v.,give; let; allow; deliver; donate; transfer
hura,/ˈhura/,n.,water; sap
hura kit,/ˈhura kit/,n.,tear
hura tat,/ˈhura tat/,n.,urine
hut,/hut/,n.,state (province; country)
hutgek,/ˈhutgek/,n.,instrument; tool; appliance; equipment; device; gadget; fixture
hutre,/ˈhutre/,n.,front; facade
huttu,/ˈhuttu/,n.,face; side; front; expression (facial); facade
i,/i/,det.,what
i,/i/,pron.,what
id,/id/,n.,theater; stage; arena
idak,/ˈidak/,v.,fuck (slang)
ide,/ˈide/,adj.,tight; tense; narrow
idwa,/ˈidwa/,adj.,poor
ig,/ig/,n.,hair (of head); hair (of body)
ig kit,/ig kit/,n.,eyelash
iga,/ˈiga/,n.,seat; chair
igek,/ˈigek/,n.,axe
igk,/igk/,adj.,late
igri,/ˈigri/,n.,debt
iguk,/ˈiguk/,n.,boat; ship; canoe; yacht
ik,/ik/,adj.,happy
ikak,/ˈikak/,n.,image
ikg,/ikg/,adv.,there
ikh,/ikh/,adj.,necessary
ikha,/ˈikha/,v.,involve; entail
ikkadat,/ikˈkadat/,n.,south
ikut,/ˈikut/,n.,university; academy
ip,/ip/,v.,need (require); need (lack)
ipag,/ˈipag/,v.,send
ir,/ir/,v.,include; incorporate
it,/it/,n.,stem; root
iuk,/ˈiuk/,n.,wealth
iw,/iw/,n.,spell (of magic)
ka,/ka/,v.,be (exist); be (permanent state)
ka,/ka/,pron.,they; them; theirs
kad,/kad/,v.,want; desire; choose
kada,/ˈkada/,v.,manage
kade,/ˈkade/,n.,bath
kadek,/ˈkadek/,prep.,over
kadi,/ˈkadi/,v.,change
kadi,/ˈkadi/,n.,change
kadra,/ˈkadra/,n.,wax
kadre,/ˈkadre/,adj.,sad
kadu,/ˈkadu/,adj.,dark
kadwa,/ˈkadwa/,n.,band (musical group)
kae,/ˈkae/,n.,sea; ocean
kaetkak,/kaˈetkak/,n.,mother
kag,/kag/,adj.,tired (needing rest)
kagad,/ˈkagad/,adv.,that
kagap,/ˈkagap/,n.,lesson
kagetad,/kaˈgetad/,adj.,subtle; elusive
kagi,/ˈkagi/,n.,store; shop; business
kagikh,/ˈkagikh/,adj.,curious
kagk,/kagk/,v.,move
kagke,/ˈkagke/,n.,phone
kagou,/ˈkagou̯/,prep.,beyond
kagrak,/ˈkagrak/,n.,partner
kagraw,/ˈkagraw/,n.,uniform
kagrer,/ˈkagrer/,prep.,around
kagri,/ˈkagri/,n.,cloak
kagrukeg,/kaˈgrukeg/,n.,dream
kagrukeg,/kaˈgrukeg/,v.,dream
kagtaw,/ˈkagtaw/,v.,sleep; nap
kagtaw,/ˈkagtaw/,n.,sleep
kahegk,/ˈkahegk/,v.,direct; conduct
kahugk,/ˈkahugk/,n.,pain
kahwa,/ˈkahwa/,adj.,rare
kahwe,/ˈkahwe/,n.,voice
kahwi,/ˈkahwi/,n.,ice
kai,/ˈkai/,v.,ring
kak,/kak/,num.,first
kaka,/ˈkaka/,v.,treat
kakad,/ˈkakad/,n.,issue; concern
kakag,/ˈkakag/,v.,laugh; chuckle
kakag,/ˈkakag/,n.,laugh
kakakh,/ˈkakakh/,adj.,violent
kakat,/ˈkakat/,n.,conquest
kake,/ˈkake/,v.,turn; twist; revolve
kakekg,/ˈkakekg/,v.,offend
kakekh,/ˈkakekh/,adv.,ever
kakewe,/kaˈkewe/,v.,drain
kakg,/kakg/,v.,hunt
kakga,/ˈkakga/,adj.,antique
kakgetreg,/kakˈgetreg/,n.,nest; den
kakgu,/ˈkakgu/,n.,height
kakguk,/ˈkakguk/,n.,angle
kakh,/kakh/,adv.,then
kakkoud,/ˈkakkou̯d/,num.,seven
kakpe,/ˈkakpe/,adj.,dangerous
kakput,/ˈkakput/,n.,shell
kakta,/ˈkakta/,n.,female
kaktaga,/kakˈtaga/,conj.,than
kaktap,/ˈkaktap/,n.,smoke
kakuk,/ˈkakuk/,v.,permit; enable
kap,/kap/,det.,many
kapa,/ˈkapa/,n.,spring (season)
kapad,/ˈkapad/,n.,transport
kapadwa,/kaˈpadwa/,n.,candy
kapette,/kaˈpette/,n.,ditch; trench
kaprag,/ˈkaprag/,v.,push; shove; press
kapre,/ˈkapre/,n.,gold
kapri,/ˈkapri/,n.,base
kaptew,/ˈkaptew/,v.,employ; recruit
kar,/kar/,dem.,that
kar,/kar/,pron.,that
karag,/ˈkarag/,n.,half
karda,/ˈkarda/,n.,servant
kardegku,/karˈdegku/,n.,campaign
kardupu,/karˈdupu/,v.,start; begin
kardupu,/karˈdupu/,n.,start; beginning
kargu,/ˈkargu/,n.,town; city; village
karrourur,/kaˈrrou̯rur/,n.,bag; suitcase; luggage; baggage; packet
karrourur tawouhakg,/kaˈrrou̯rur taˈwou̯hakg/,n.,backpack
karruk,/ˈkarruk/,n.,blade; razor
karu,/ˈkaru/,n.,class
karu akgu,/ˈkaru ˈakgu/,n.,upper class
karu rir,/ˈkaru rir/,n.,middle class
karu tigk,/ˈkaru tigk/,n.,lower class
kat,/kat/,n.,thing; matter (substance; material)
kata,/ˈkata/,n.,fear
katad,/ˈkatad/,n.,tire
katak,/ˈkatak/,n.,body
katau,/kaˈtau/,n.,butter
kate,/ˈkate/,n.,route
katgu,/ˈkatgu/,v.,display; expose
katig,/ˈkatig/,v.,jerk
katiku,/kaˈtiku/,v.,waste
katka,/ˈkatka/,n.,card
katkeg,/ˈkatkeg/,adj.,big; great (very large); huge
katre,/ˈkatre/,n.,brothel
katrir,/ˈkatrir/,n.,figure; celebrity
kattag,/ˈkattag/,n.,magic
katu,/ˈkatu/,prep.,upon
kawad,/ˈkawad/,v.,listen; hear
kawadugk,/kaˈwadugk/,n.,supervisor
kawate,/kaˈwate/,n.,sword; blade
kawaw,/ˈkawaw/,n.,column
kawe,/ˈkawe/,adv.,either
kaweg,/ˈkaweg/,n.,shore; coast
kaweg kae,/ˈkaweg ˈkae/,n.,beach
kawek,/ˈkawek/,adj.,aroused (sexually)
kawgou,/ˈkawgou̯/,n.,chief; boss
kawi,/ˈkawi/,v.,lay
kawikg,/ˈkawikg/,v.,bark
kawir,/ˈkawir/,v.,agree; compromise
kawteka,/kawˈteka/,n.,comfort
kawu,/ˈkawu/,v.,try (attempt); attempt
kawug,/ˈkawug/,n.,clock
kawuk,/ˈkawuk/,adj.,massive; enormous
kawur,/ˈkawur/,v.,become (begin to be); become (change into)
ke,/ke/,prep.,with (using)
ke,/ke/,pron.,we; us; ours
ke,/ke/,det.,his
kea,/ˈkea/,v.,kick
ked,/ked/,v.,cut; snip
ked,/ked/,n.,fat (bodily substance)
keda,/ˈkeda/,n.,dust; powder
kedake,/keˈdake/,adj.,urban
kedakh,/ˈkedakh/,n.,example; prototype
kede,/ˈkede/,v.,can
kederegk,/keˈderegk/,adj.,greedy
kedi,/ˈkedi/,adj.,former
kedreg,/ˈkedreg/,n.,capital (city)
kedu,/ˈkedu/,v.,face; fight
keg,/keg/,num.,nine
kega,/ˈkega/,n.,king
kegak,/ˈkegak/,n.,tooth
kegawap,/keˈgawap/,adj.,bright
kege,/ˈkege/,v.,increase; expand; exacerbate
kegegk,/ˈkegegk/,prep.,throughout
kegegra,/keˈgegra/,n.,cotton
kegekik,/keˈgekik/,adj.,true
kegeptud,/keˈgeptud/,adj.,bloody
kegewa,/keˈgewa/,adj.,evident
kegi,/ˈkegi/,n.,aunt
kegk,/kegk/,v.,let; allow (let); approve
kegke,/ˈkegke/,n.,fish
kegre,/ˈkegre/,n.,guy
kegru,/ˈkegru/,v.,moan; sigh
kegtoup,/ˈkegtou̯p/,v.,cross
kegud,/ˈkegud/,n.,plot
kegurrig,/keˈgurrig/,adj.,risky
kegut,/ˈkegut/,n.,plane
kehag,/ˈkehag/,pron.,none
kehatu,/keˈhatu/,n.,religion
kehep,/ˈkehep/,adj.,private
kehewe,/keˈhewe/,adj.,reasonable
kehi,/ˈkehi/,n.,beer
kehigk,/ˈkehigk/,adj.,central
kehwap,/ˈkehwap/,n.,altitude
kek,/kek/,prep.,for (a period of time or length of distance)
keka,/ˈkeka/,v.,starve
kekahugk,/keˈkahugk/,adj.,painful
kekapre,/keˈkapre/,adj.,golden
kekat,/ˈkekat/,n.,torch; lamp
kekawteka,/ˌkekawˈteka/,adj.,comfortable
keke,/ˈkeke/,n.,moon
kekek,/ˈkekek/,n.,button (pushbutton)
kekekg,/ˈkekekg/,n.,ash; coal
kekekg patga,/ˈkekekg ˈpatga/,n.,charcoal
kekektu,/keˈkektu/,adj.,beautiful
kekg,/kekg/,v.,buy; purchase; shop
kekg haki,/kekg ˈhaki/,n.,cafe
kekgedip,/kekˈgedip/,n.,alcohol
kekh,/kekh/,v.,hate
kekhid,/ˈkekhid/,n.,crystal
kekhur,/ˈkekhur/,v.,steal; rob; snatch
keki,/ˈkeki/,adj.,busy
kekigut,/keˈkigut/,n.,sense
kekike,/keˈkike/,n.,grandmother
kekikh,/ˈkekikh/,n.,afternoon
kekkap,/ˈkekkap/,n.,beverage
kekkoud,/ˈkekkou̯d/,n.,resident
kekta,/ˈkekta/,n.,page
kektad,/ˈkektad/,v.,polish
kektegk,/ˈkektegk/,adj.,skilled
kekti,/ˈkekti/,n.,party
kektu,/ˈkektu/,n.,beauty
keku,/ˈkeku/,n.,group; gang; herd; society
kekugku,/keˈkugku/,adj.,fashionable
kekuk,/ˈkekuk/,n.,tongue; language; dialect
kep,/kep/,det.,any
kepa,/ˈkepa/,n.,bottom (lowest part); buttocks
kepe,/ˈkepe/,v.,frown
kepegtapu,/ˌkepegˈtapu/,adj.,confident
kepidu,/keˈpidu/,adj.,messy
kepigk,/ˈkepigk/,n.,bow (weapon)
kepikh,/ˈkepikh/,adj.,distant
kepouwu,/keˈpou̯wu/,adj.,hungry
kepra,/ˈkepra/,n.,interview
keprak,/ˈkeprak/,v.,repeat
kepru,/ˈkepru/,n.,flavor
kepta,/ˈkepta/,adj.,red; purple
keptu,/ˈkeptu/,v.,contain; involve; entail; incorporate
kepu,/ˈkepu/,pron.,anything
ker,/ker/,num.,one
kerahwaw,/keˈrahwaw/,adj.,dirty
kere,/ˈkere/,n.,property
kereg,/ˈkereg/,v.,walk
kerek,/ˈkerek/,adj.,friendly
kerep,/ˈkerep/,n.,floor; ground; bottom (lowest part)
kerge,/ˈkerge/,n.,brush; beard; brush (for hair)
kerira,/keˈrira/,adj.,anxious
keritki,/keˈritki/,adj.,sexual
keritki gudou,/keˈritki ˈgudou̯/,n.,homosexual
keriwge,/keˈriwge/,adj.,successful
kerra,/ˈkerra/,n.,horse
kerrak,/ˈkerrak/,n.,grass; lawn
kerri,/ˈkerri/,v.,write; draw; mark
kerri kewut,/ˈkerri ˈkewut/,n.,fingerprint
kerrou,/ˈkerrou̯/,n.,park
ket,/ket/,v.,could
ket,/ket/,pron.,he; him; his; it (m.); its (m.)
ketar,/ˈketar/,n.,lip
ketat,/ˈketat/,n.,path; track
kete,/ˈkete/,n.,committee; tribunal
ketek,/ˈketek/,v.,prove
ketgagk,/ˈketgagk/,interj.,yes
ketku,/ˈketku/,pron.,one
ketra,/ˈketra/,v.,sail; cruise; navigate
ketti,/ˈketti/,n.,forefather
ketu,/ˈketu/,n.,tomb; grave
ketuk,/ˈketuk/,adj.,young
ketukatgag,/ˌketuˈkatgag/,adj.,healthy
kew,/kew/,n.,day; date; world; planet
kew ewukh,/kew ˈewukh/,n.,yesterday
kewa,/ˈkewa/,n.,map
kewagk,/ˈkewagk/,n.,century
kewak,/ˈkewak/,n.,justice
kewap,/ˈkewap/,n.,bullet
kewe,/ˈkewe/,adj.,local
kewek,/ˈkewek/,n.,wing
kewep,/ˈkewep/,n.,family (related by blood)
kewge,/ˈkewge/,n.,wizard
kewikh,/ˈkewikh/,prep.,before
kewu,/ˈkewu/,n.,ass
kewut,/ˈkewut/,n.,finger; toe; claw
ki,/ki/,adv.,not
kia,/ˈkia/,n.,fog
kid,/kid/,n.,cave
kidapep,/kiˈdapep/,n.,silence
kidat,/ˈkidat/,n.,sickness
kidaw,/ˈkidaw/,v.,value
kide,/ˈkide/,v.,bite
kide,/ˈkide/,n.,tension
kidek,/ˈkidek/,num.,billion
kidekg,/ˈkidekg/,n.,fur
kidekg ritki,/ˈkidekg ˈritki/,n.,pubic hair
kidru,/ˈkidru/,v.,smell (sense with nose)
kidwou,/ˈkidwou̯/,n.,hag (old woman)
kie,/ˈkie/,n.,bedroom
kier,/ˈkier/,n.,price; fee; tariff
kig,/kig/,v.,fall; collapse; tumble; sink; descend
kigada,/kiˈgada/,n.,length
kige,/ˈkige/,n.,thunder
kiged,/ˈkiged/,n.,shade; shadow; hue; umbrella
kigig,/ˈkigig/,adj.,popular
kigk,/kigk/,v.,gain; earn
kigkakh,/ˈkigkakh/,n.,average
kigkar,/ˈkigkar/,v.,spell
kigkaw,/ˈkigkaw/,adv.,nowadays
kigkep,/ˈkigkep/,n.,orgasm
kigkip,/ˈkigkip/,n.,hat
kigkip tahwi,/ˈkigkip ˈtahwi/,n.,helmet
kigrakatgougk,/ˌkigraˈkatgou̯gk/,n.,luck
kigrek,/ˈkigrek/,adj.,neat
kigrigk,/ˈkigrigk/,n.,fun
kigrikut,/kiˈgrikut/,n.,possibility
kigruku,/kiˈgruku/,v.,claim; allege
kigta,/ˈkigta/,adj.,frequent
kiha,/ˈkiha/,n.,poison; venom
kihaka,/kiˈhaka/,n.,anger
kihe,/ˈkihe/,n.,shape; constellation
kihukgu,/kiˈhukgu/,n.,perfection
kihuku,/kiˈhuku/,n.,ability
kik,/kik/,adv.,quite; rather
kik,/kik/,n.,happiness
kikadre,/kiˈkadre/,n.,sadness
kikadu,/kiˈkadu/,n.,darkness
kikagetad,/ˌkikaˈgetad/,n.,subtlety
kikakakh,/kiˈkakakh/,n.,violence
kikakh,/ˈkikakh/,v.,come; occur
kikakpe,/kiˈkakpe/,n.,danger
kikaku,/kiˈkaku/,adj.,certain; sure
kike,/ˈkike/,n.,opinion
kikg,/kikg/,v.,watch; spectate
kikh,/kikh/,adj.,thin (slender); slim
kiki,/ˈkiki/,v.,seek
kikka,/ˈkikka/,n.,medicine
kikou,/ˈkikou̯/,n.,corpse
kikuk,/ˈkikuk/,n.,device; apparatus
kip,/kip/,v.,ask (inquire); ask (request)
kipektu,/kiˈpektu/,adj.,close; dense; accurate
kiper,/ˈkiper/,prep.,near
kipre,/ˈkipre/,v.,defend; protect; prevent; justify
kiptit,/ˈkiptit/,n.,style; tone; kind
kiptu,/ˈkiptu/,n.,humor
kir,/kir/,adv.,almost; barely
kira,/ˈkira/,adj.,favorite
kirat,/ˈkirat/,n.,space (empty area); room (space)
kirda,/ˈkirda/,interj.,goodbye
kiregar,/kiˈregar/,n.,heat
kirgi,/ˈkirgi/,adv.,often
kirrug,/ˈkirrug/,n.,bow (decorative material)
kiru,/ˈkiru/,n.,silver
kiruk,/ˈkiruk/,v.,float; hover
kit,/kit/,n.,eye
kita,/ˈkita/,v.,suggest; imply
kite,/ˈkite/,v.,forget
kitep,/ˈkitep/,v.,twist; distort
kiti,/ˈkiti/,v.,kiss
kiuk,/ˈkiuk/,adj.,rich
kiwa,/ˈkiwa/,adj.,cold; crisp; cool (slightly cold)
kiwap,/ˈkiwap/,n.,room (space); capacity
kiweti,/kiˈweti/,v.,elect
kiwigk,/ˈkiwigk/,n.,drug; medicine
kiwoup,/ˈkiwou̯p/,n.,width
kiwuk,/ˈkiwuk/,n.,horn; penis (slang)
kou,/kou̯/,interj.,okay
koud,/kou̯d/,n.,picture
koudak,/ˈkou̯dak/,n.,evening
koug,/kou̯g/,v.,hide; protect
kouge,/ˈkou̯ge/,prep.,inside
kouge,/ˈkou̯ge/,adj.,expensive
kougk,/kou̯gk/,n.,second (time); moment
kougke,/ˈkou̯gke/,n.,court (of law); tribunal
kouk,/kou̯k/,n.,wife
kouk,/kou̯k/,n.,difference
kouka,/ˈkou̯ka/,v.,combine
koukg,/kou̯kg/,prep.,without
koukh,/kou̯kh/,n.,erection
kouki,/ˈkou̯ki/,n.,web; net
koup,/kou̯p/,v.,bring; lead; carry
koupe,/ˈkou̯pe/,n.,job; career
koupri,/ˈkou̯pri/,v.,grip
kour,/kou̯r/,v.,die
kourouw,/ˈkou̯rou̯w/,n.,shit
kout,/kou̯t/,v.,be (age)
kouttet,/ˈkou̯ttet/,n.,sheep
kouw,/kou̯w/,n.,man
kouwi,/ˈkou̯wi/,n.,station (railroad; bus)
ku,/ku/,v.,have; must; have to; own; possess
kud,/kud/,n.,parent
kuda,/ˈkuda/,v.,miss (long for)
kude,/ˈkude/,adj.,wrong
kudri,/ˈkudri/,v.,limp
kudu,/ˈkudu/,v.,date; go out
kudwi,/ˈkudwi/,n.,rake
kudwuk,/ˈkudwuk/,v.,avoid; dodge; avert; escape
kug,/kug/,v.,feel (perceive; sense); seem
kug,/kug/,n.,feeling
kuga,/ˈkuga/,n.,queen
kuge,/ˈkuge/,n.,victim
kugek,/ˈkugek/,n.,trap; bait
kugk,/kugk/,adv.,also; as well
kugkakep,/kugˈkakep/,n.,empire
kugke,/ˈkugke/,v.,cough
kugku,/ˈkugku/,n.,fashion
kugrew,/ˈkugrew/,adj.,easy
kugru,/ˈkugru/,v.,compare; contrast
kugruk,/ˈkugruk/,v.,calculate
kuhe,/ˈkuhe/,n.,cloud
kuhweg,/ˈkuhweg/,n.,ring
kuk,/kuk/,prep.,for (the purpose of)
kukg,/kukg/,v.,see; watch; discover; perceive; notice; date; go out
kukga,/ˈkukga/,v.,separate; isolate
kukgep,/ˈkukgep/,n.,blasphemy; heresy
kukh,/kukh/,n.,chance; odds
kuktu,/ˈkuktu/,n.,mouth; edge; verge; gate
kuku,/ˈkuku/,v.,mix; blend; weave
kup,/kup/,adv.,very; really
kupa,/ˈkupa/,adv.,already
kupadi,/kuˈpadi/,adv.,ago
kupakgu,/kuˈpakgu/,n.,sorrow
kupe,/ˈkupe/,v.,choose; select
kuptet,/ˈkuptet/,v.,suck; inhale
kur,/kur/,n.,father
kura,/ˈkura/,adj.,proud
kurdud,/ˈkurdud/,n.,bay; harbor; port
kurek,/ˈkurek/,n.,hospital; ward
kurgug,/ˈkurgug/,n.,clothes; clothing; garment
kurgug tat,/ˈkurgug tat/,n.,underwear
kut,/kut/,n.,fact
kuta,/ˈkuta/,adj.,similar
kuteu,/kuˈteu/,n.,growth
kutga,/ˈkutga/,n.,fork
kutka,/ˈkutka/,n.,slave
kutre,/ˈkutre/,v.,identify; point out
kutu,/ˈkutu/,v.,kill; murder; execute; destroy
kutu gukg,/ˈkutu gukg/,n.,genocide
ou,/ou̯/,n.,way; process; direction (way); procedure; course (direction of travel)
oud,/ou̯d/,adj.,specific; definite; particular
oug,/ou̯g/,n.,vein
ouge,/ˈou̯ge/,v.,cost
ouge,/ˈou̯ge/,n.,cost
ouk,/ou̯k/,adj.,different; distinct
oukg,/ou̯kg/,adv.,how
oukgupat,/ou̯kˈgupat/,n.,public
oukpak,/ˈou̯kpak/,n.,skirt
ouktidit,/ou̯kˈtidit/,v.,authorize
ouktigapta,/ˌou̯ktiˈgapta/,v.,assassinate
ouktigegk,/ou̯kˈtigegk/,v.,research
ouktigeptud,/ˌou̯ktiˈgeptud/,v.,bleed
ouktigikh,/ou̯kˈtigikh/,v.,reverse
ouktigitip,/ˌou̯ktiˈgitip/,v.,sing
ouktigrad,/ou̯kˈtigrad/,v.,rate
ouktikakat,/ˌou̯ktiˈkakat/,v.,conquer
ouktikuteu,/ou̯kˌtikuˈteu/,v.,grow
ouktipewtaw,/ˌou̯ktiˈpewtaw/,v.,record
ouktirepak,/ˌou̯ktiˈrepak/,v.,prepare
ouktiwarruk,/ˌou̯ktiˈwarruk/,v.,serve
ouktiwekh,/ou̯kˈtiwekh/,v.,weigh
ouktiwurga,/ˌou̯ktiˈwurga/,v.,accompany
oup,/ou̯p/,adj.,clean
oup,/ou̯p/,v.,clean
out,/ou̯t/,adj.,general; generic
outede,/ou̯ˈtede/,v.,save; rescue; liberate
ouw,/ou̯w/,conj.,or; either
ouwekap,/ou̯ˈwekap/,adj.,attractive
pa,/pa/,n.,condition (requirement; stipulation)
pa,/pa/,det.,her
pada,/ˈpada/,n.,energy (strength; stamina)
padou,/ˈpadou̯/,n.,key
padwa,/ˈpadwa/,v.,study
padwer,/ˈpadwer/,n.,thumb
pag,/pag/,adj.,pretty
paga,/ˈpaga/,n.,present; gift
pagk,/pagk/,n.,game; sport
pagougk,/ˈpagou̯gk/,adj.,equal; equivalent
pagredru,/paˈgredru/,n.,moss
pahwe,/ˈpahwe/,adj.,bad; evil
pak,/pak/,dem.,this
pak,/pak/,pron.,this
pak dawe,/pak ˈdawe/,adv.,tonight
pak kew,/pak kew/,adv.,today
pake,/ˈpake/,n.,attitude
pakg,/pakg/,v.,must; have to
pakh,/pakh/,prep.,according to
pakte,/ˈpakte/,n.,tin
paktug,/ˈpaktug/,v.,establish
paku,/ˈpaku/,v.,apply
pakukg,/ˈpakukg/,n.,plague
pap,/pap/,v.,continue; keep (continue); sustain
papra,/ˈpapra/,n.,advice
paptaw,/ˈpaptaw/,n.,church; chapel
par,/par/,v.,lack
parri,/ˈparri/,n.,fool
pat,/pat/,n.,kettle
patga,/ˈpatga/,n.,tree; wood; plant; shrub
patka,/ˈpatka/,v.,stretch
patkut,/ˈpatkut/,n.,hallway; corridor
paw,/paw/,v.,accept
pawukh,/ˈpawukh/,v.,grind; chew
pe,/pe/,prep.,from
peagk,/ˈpeagk/,adj.,boring
ped,/ped/,adj.,firm
pedwat,/ˈpedwat/,n.,berry
peg,/peg/,n.,oil
pege,/ˈpege/,n.,son
pege kega,/ˈpege ˈkega/,n.,prince
pegk,/pegk/,v.,learn
pegka,/ˈpegka/,v.,achieve; accomplish; work (have desired result)
pegke,/ˈpegke/,n.,country (nation)
